Day,Interpolated_T0
0,-1.4179315232951033
1,-1.4179315232951033
2,-1.4179315232951033
3,-1.4179315232951033
4,-1.4179315232951033
5,-1.419535146666591
6,-1.421138770038079
7,-1.4227423934095669
8,-1.4243460167810549
9,-1.4259496401525427
10,-1.427536058809475
11,-1.429122477466407
12,-1.4307088961233394
13,-1.4322953147802715
14,-1.4338817334372038
15,-1.435424519330262
16,-1.4369673052233203
17,-1.4385100911163784
18,-1.4400528770094367
19,-1.4415956629024949
20,-1.4431384487955532
21,-1.4446812346886113
22,-1.4462240205816697
23,-1.4477668064747278
24,-1.449309592367786
25,-1.4508523782608442
26,-1.4523951641539024
27,-1.4539379500469607
28,-1.4554807359400188
29,-1.4570235218330772
30,-1.4585663077261353
31,-1.4601090936191936
32,-1.4616518795122517
33,-1.46314249765666
34,-1.4646331158010684
35,-1.4661237339454765
36,-1.4676143520898848
37,-1.469104970234293
38,-1.4705686387855863
39,-1.4720323073368795
40,-1.4734959758881725
41,-1.4749596444394657
42,-1.476423312990759
43,-1.4778142765190996
44,-1.4792052400474403
45,-1.480596203575781
46,-1.4819871671041216
47,-1.4833781306324623
48,-1.484769094160803
49,-1.4861600576891436
50,-1.4875510212174843
51,-1.488941984745825
52,-1.4903329482741656
53,-1.4917239118025063
54,-1.493114875330847
55,-1.4945058388591876
56,-1.4958968023875283
57,-1.497287765915869
58,-1.4986787294442097
59,-1.5000696929725503
60,-1.501460656500891
61,-1.5027663393965978
62,-1.5040720222923043
63,-1.505377705188011
64,-1.5066833880837176
65,-1.5079890709794244
66,-1.5092521739301965
67,-1.5105152768809686
68,-1.5117783798317406
69,-1.5130414827825127
70,-1.5143045857332849
71,-1.5154507624405011
72,-1.5165969391477174
73,-1.5177431158549337
74,-1.51888929256215
75,-1.5200354692693665
76,-1.5211816459765828
77,-1.522327822683799
78,-1.5234739993910154
79,-1.5246201760982316
80,-1.525766352805448
81,-1.5269125295126642
82,-1.5280587062198805
83,-1.5292048829270968
84,-1.5303510596343133
85,-1.5314972363415296
86,-1.5326434130487459
87,-1.5337895897559621
88,-1.5349357664631784
89,-1.535940580878778
90,-1.5369453952943777
91,-1.5379502097099775
92,-1.5389550241255772
93,-1.5399598385411768
94,-1.5408913216649103
95,-1.5418228047886438
96,-1.542754287912377
97,-1.5436857710361105
98,-1.544617254159844
99,-1.5450947325915023
100,-1.5455722110231607
101,-1.546049689454819
102,-1.5465271678864774
103,-1.5470046463181357
104,-1.547482124749794
105,-1.5479596031814524
106,-1.5484370816131108
107,-1.5489145600447691
108,-1.5493920384764275
109,-1.5498695169080858
110,-1.5503469953397442
111,-1.5508244737714025
112,-1.5513019522030609
113,-1.5517794306347192
114,-1.5522569090663776
115,-1.552734387498036
116,-1.5532118659296943
117,-1.5519845518749684
118,-1.5507572378202423
119,-1.5495299237655165
120,-1.5483026097107904
121,-1.5470752956560645
122,-1.5462483334935309
123,-1.5454213713309972
124,-1.5445944091684636
125,-1.54376744700593
126,-1.5429404848433963
127,-1.5421135226808627
128,-1.541286560518329
129,-1.5404595983557954
130,-1.5396326361932617
131,-1.538805674030728
132,-1.5379787118681945
133,-1.5371517497056608
134,-1.5363247875431272
135,-1.5354978253805935
136,-1.53467086321806
137,-1.5338439010555263
138,-1.5330169388929926
139,-1.532189976730459
140,-1.5313630145679253
141,-1.5305360524053917
142,-1.529709090242858
143,-1.5288821280803244
144,-1.5280551659177908
145,-1.5261670111140566
146,-1.5242788563103224
147,-1.5223907015065883
148,-1.5205025467028541
149,-1.51861439189912
150,-1.517318515044058
151,-1.516022638188996
152,-1.514726761333934
153,-1.513430884478872
154,-1.51213500762381
155,-1.510839130768748
156,-1.5095432539136862
157,-1.5082473770586242
158,-1.506951500203562
159,-1.5056556233485001
160,-1.5043597464934382
161,-1.5030638696383762
162,-1.5017679927833143
163,-1.5004721159282524
164,-1.4991762390731902
165,-1.4978803622181283
166,-1.4965844853630663
167,-1.4952886085080044
168,-1.4939927316529424
169,-1.4926968547978805
170,-1.4914009779428183
171,-1.4901051010877564
172,-1.4888092242326945
173,-1.4839669195054517
174,-1.479124614778209
175,-1.474282310050966
