Day,Interpolated_T0
0,-1.6717766316927236
1,-1.6727394422189459
2,-1.673702252745168
3,-1.6746650632713902
4,-1.6756278737976122
5,-1.6765736225520038
6,-1.6775193713063952
7,-1.6784651200607867
8,-1.679410868815178
9,-1.6803566175695697
10,-1.6812829439950945
11,-1.6822092704206193
12,-1.6831355968461443
13,-1.6840619232716691
14,-1.684988249697194
15,-1.6858692758656502
16,-1.6867503020341064
17,-1.6876313282025628
18,-1.688512354371019
19,-1.6893933805394752
20,-1.6902744067079314
21,-1.6911554328763878
22,-1.692036459044844
23,-1.6929174852133002
24,-1.6937985113817564
25,-1.6946795375502126
26,-1.695560563718669
27,-1.6964415898871252
28,-1.6973226160555814
29,-1.6982036422240376
30,-1.699084668392494
31,-1.6999656945609503
32,-1.7008467207294065
33,-1.7016804012480582
34,-1.70251408176671
35,-1.7033477622853619
36,-1.7041814428040136
37,-1.7050151233226654
38,-1.7058280793952434
39,-1.7066410354678214
40,-1.7074539915403997
41,-1.7082669476129777
42,-1.7090799036855557
43,-1.7098485528796368
44,-1.7106172020737178
45,-1.7113858512677989
46,-1.71215450046188
47,-1.7129231496559607
48,-1.7136917988500417
49,-1.7144604480441228
50,-1.7152290972382038
51,-1.7159977464322849
52,-1.716766395626366
53,-1.717535044820447
54,-1.718303694014528
55,-1.719072343208609
56,-1.7198409924026898
57,-1.7206096415967709
58,-1.721378290790852
59,-1.722146939984933
60,-1.722915589179014
61,-1.7236444191996985
62,-1.7243732492203832
63,-1.7251020792410676
64,-1.7258309092617523
65,-1.7265597392824368
66,-1.7272731254703262
67,-1.7279865116582156
68,-1.7286998978461048
69,-1.7294132840339942
70,-1.7301266702218836
71,-1.7307981373540937
72,-1.731469604486304
73,-1.7321410716185142
74,-1.7328125387507245
75,-1.7334840058829346
76,-1.734155473015145
77,-1.734826940147355
78,-1.7354984072795654
79,-1.7361698744117755
80,-1.7368413415439856
81,-1.737512808676196
82,-1.738184275808406
83,-1.7388557429406164
84,-1.7395272100728265
85,-1.7401986772050368
86,-1.740870144337247
87,-1.7415416114694573
88,-1.7422130786016674
89,-1.7427843949168689
90,-1.7433557112320706
91,-1.743927027547272
92,-1.7444983438624737
93,-1.7450696601776752
94,-1.745479258045082
95,-1.7458888559124888
96,-1.7462984537798956
97,-1.7467080516473024
98,-1.7471176495147092
99,-1.746819271217523
100,-1.7465208929203369
101,-1.7462225146231505
102,-1.7459241363259643
103,-1.7456257580287782
104,-1.745327379731592
105,-1.7450290014344056
106,-1.7447306231372195
107,-1.7444322448400333
108,-1.7441338665428472
109,-1.743835488245661
110,-1.7435371099484747
111,-1.7432387316512885
112,-1.7429403533541024
113,-1.7426419750569162
114,-1.7423435967597298
115,-1.7420452184625437
116,-1.7417468401653575
117,-1.7409662881032626
118,-1.7401857360411679
119,-1.739405183979073
120,-1.7386246319169782
121,-1.7378440798548833
122,-1.7362144840758946
123,-1.7345848882969057
124,-1.732955292517917
125,-1.7313256967389283
126,-1.7296961009599396
127,-1.7280665051809507
128,-1.726436909401962
129,-1.7248073136229733
130,-1.7231777178439847
131,-1.7215481220649957
132,-1.719918526286007
133,-1.7182889305070184
134,-1.7166593347280297
135,-1.7150297389490408
136,-1.713400143170052
137,-1.7117705473910634
138,-1.7101409516120747
139,-1.7085113558330858
140,-1.706881760054097
141,-1.7052521642751084
142,-1.7036225684961197
143,-1.7019929727171308
144,-1.700363376938142
145,-1.6986939132062442
146,-1.6970244494743463
147,-1.6953549857424486
148,-1.6936855220105507
149,-1.6920160582786528
150,-1.6856137231158888
151,-1.679211387953125
152,-1.672809052790361
153,-1.666406717627597
154,-1.6600043824648332
155,-1.6536020473020692
156,-1.6471997121393052
157,-1.6407973769765412
158,-1.6343950418137774
159,-1.6279927066510134
160,-1.6215903714882494
161,-1.6151880363254856
162,-1.6087857011627216
163,-1.6023833659999576
164,-1.5959810308371938
165,-1.5895786956744298
166,-1.5831763605116658
167,-1.5767740253489018
168,-1.570371690186138
169,-1.563969355023374
170,-1.55756701986061
171,-1.5511646846978462
172,-1.5447623495350822
173,-1.5400836964607039
174,-1.5354050433863256
175,-1.5307263903119472
