Day,NEMO_T0,NEMO_Td
0,-1.6523171771189262,0.7452827035026117
1,-1.652555905025581,0.7460553991523656
2,-1.6530998863022903,0.7465648116035895
3,-1.6535407844288597,0.7470575821670619
4,-1.6539410445196876,0.7475342533805154
5,-1.6544092893600464,0.7479953576217998
6,-1.6549240217126648,0.7484413967891173
7,-1.6554011620324234,0.7488728612661362
8,-1.6557072550058365,0.7492902387272228
9,-1.6559111845904384,0.7496939674019814
10,-1.6560822750987678,0.7500845071944323
11,-1.6561733849089721,0.7504622888835993
12,-1.6564048133019744,0.7508277222514153
13,-1.656843538428175,0.7511812143705108
14,-1.6572947240081326,0.751523149961775
15,-1.6576409401564762,0.7518539144234224
16,-1.658115395698054,0.7521738708019257
17,-1.658567247205767,0.7524833625013178
18,-1.6589287241985058,0.7527827464721419
19,-1.6591809689998627,0.7530723397027362
20,-1.6596010250264202,0.7533524591814388
21,-1.6599300000174293,0.7536234334111214
22,-1.6600479314039494,0.7538855421272191
23,-1.6603721190115501,0.7541390819983049
24,-1.660794158947879,0.7543843375010924
25,-1.6609531682113121,0.7546215666966005
26,-1.6610054301804509,0.7548510425470092
27,-1.6612375378608704,0.7550730149854313
28,-1.661363326783838,0.755287731913003
29,-1.6614669510002793,0.7554954161698167
30,-1.6615002042260663,0.7556963156570088
31,-1.6615147945182076,0.7558906477960673
32,-1.6616597098523174,0.7560786232352257
33,-1.6619094173456062,0.7562604492360895
34,-1.6620164719121209,0.7564363310282881
35,-1.6621756594756554,0.7566064487804066
36,-1.6624415660726612,0.7567710117860273
37,-1.6628666417352085,0.7569301981817592
38,-1.6632484649789745,0.7570841725577008
39,-1.663500673298178,0.7572331035679037
40,-1.6635756174038197,0.7573771652850237
41,-1.663757089910836,0.757516513493928
42,-1.6639537646852691,0.757651303302158
43,-1.6641047011161674,0.7577816816893491
44,-1.6641411920045983,0.7579077936031602
45,-1.6642970098503704,0.7580297921191562
46,-1.6645250305019577,0.7581477788361636
47,-1.6645081664981514,0.7582619163123044
48,-1.6645793277641823,0.7583723122423346
49,-1.664671057257159,0.7584791041233323
50,-1.6646646348566845,0.758582400327379
51,-1.6647338142682766,0.7586823044852777
52,-1.6648790779812583,0.7587789466435259
53,-1.6650242373861115,0.75887242840095
54,-1.6650553618011803,0.7589628425511447
55,-1.665005421844022,0.759050303562121
56,-1.664969453523899,0.759134900840846
57,-1.6650261534699078,0.759216731922193
58,-1.665185705854975,0.7592958821491762
59,-1.6653879865490158,0.7593724416060881
60,-1.6657844787013942,0.7594464963132684
61,-1.6660254931655423,0.7595181241631508
62,-1.6662132185080956,0.7595874077894471
63,-1.6663213382507194,0.7596544338898226
64,-1.666674234743776,0.7597192485224117
65,-1.6670057542365173,0.7597819458354603
66,-1.6670429984043384,0.7598426010120999
67,-1.6670983839651634,0.7599012614651159
68,-1.667557322259607,0.7599579996683381
69,-1.6677896406116157,0.7600128914822232
70,-1.6678303510978305,0.7600659694183957
71,-1.667809617416612,0.7601173188198697
72,-1.6676965818322937,0.7601669796488502
73,-1.667509135501138,0.7602150223471902
74,-1.6674995889951443,0.7602614990689538
75,-1.672441050924104,0.7603064355525103
76,-1.698318536425459,0.7603499049490149
77,-1.7020935272348339,0.760391962799159
78,-1.7014872745193284,0.7604326429692182
79,-1.7006223237720028,0.7604719745841894
80,-1.6996268743071064,0.7605100199580193
81,-1.698584660373885,0.7605468312447722
82,-1.6976544523033603,0.7605824355374683
83,-1.6970650697576588,0.7606168673797087
84,-1.6964384014236515,0.7606501789255575
85,-1.6955599384061222,0.7606823999773372
86,-1.69471469110456,0.760713554918766
87,-1.6938021850997005,0.7607436986132101
88,-1.6928848182332927,0.7607728486711328
89,-1.6921256333589554,0.7608010565692728
90,-1.6914657097438286,0.7608283290808852
91,-1.6905912762058193,0.7608547048135237
92,-1.6897965669631958,0.7608802156014876
93,-1.6893939103545814,0.7609049000523307
94,-1.6890925693100896,0.7609287798404694
95,-1.6886789983716504,0.7609518658031117
96,-1.688629864618696,0.7609742067076943
97,-1.6886873270930916,0.7609958133914254
98,-1.6886055161213052,0.7610167054967447
99,-1.6880533150557815,0.761036910793998
100,-1.6877564530948113,0.7610564604401588
101,-1.6874459591405144,0.7610753632404588
102,-1.686695333184867,0.7610936625437303
103,-1.6858903005205352,0.7611113461581144
104,-1.685549017684213,0.761128456755118
105,-1.685211973971334,0.7611449997533452
106,-1.6848652938316608,0.7611610083417459
107,-1.6845906726245223,0.7611764994534579
108,-1.6841079926696316,0.7611914744431322
109,-1.683460203224215,0.7612059563398361
110,-1.682858748682614,0.7612199695272879
111,-1.6828008109125598,0.7612335221333937
112,-1.6830361074414746,0.7612466236407106
113,-1.6826210792722374,0.7612593031742356
114,-1.682332697613486,0.7612715668298982
115,-1.6819953707785442,0.7612834234129299
116,-1.6816459488252113,0.7612948844378645
117,-1.6814051666136445,0.7613059858029539
118,-1.6816131508555905,0.7613167268308726
119,-1.6820685791558232,0.7613271142948758
120,-1.6823947229262055,0.7613371529362418
121,-1.682060441580312,0.7613468630747362
122,-1.68136658853498,0.7613562508062883
123,-1.680723512994832,0.7613653337413614
124,-1.6801519167834316,0.7613741247491403
125,-1.6797768751095081,0.7613826339895075
126,-1.6795130659793984,0.7613908492706039
127,-1.679427661772432,0.7613988017494028
128,-1.6794931318225532,0.7614064893939279
129,-1.6795793864233741,0.7614139318466187
130,-1.6793134269015542,0.7614211223342202
131,-1.6790635709104866,0.7614280886270783
132,-1.678794381947353,0.761434823951938
133,-1.6783770934261124,0.7614413310181011
