Day,Max_fluo_obs_fill
0,0.08357461068455979
1,0.08389212670744853
2,0.08420964273033728
3,0.08452715875322601
4,0.08484467477611476
5,0.0851621907990035
6,0.08547970682189225
7,0.08579722284478099
8,0.08611473886766974
9,0.08643225489055847
10,0.08674977091344722
11,0.08706728693633596
12,0.08738480295922471
13,0.08770231898211345
14,0.0880198350050022
15,0.08833735102789093
16,0.08865486705077968
17,0.08897238307366842
18,0.08928989909655717
19,0.08960741511944591
20,0.08992493114233466
21,0.0902424471652234
22,0.09055996318811213
23,0.09087747921100088
24,0.09119499523388962
25,0.09151251125677837
26,0.0918300272796671
27,0.09214754330255585
28,0.09246505932544459
29,0.09278257534833334
30,0.09310009137122208
31,0.09341760739411083
32,0.09373512341699956
33,0.09405263943988831
34,0.09437015546277705
35,0.0946876714856658
36,0.09500518750855454
37,0.09532270353144329
38,0.09564021955433202
39,0.09595773557722077
40,0.09627525160010951
41,0.09659276762299826
42,0.096910283645887
43,0.09722779966877573
44,0.09754531569166448
45,0.09786283171455322
46,0.09818034773744197
47,0.0984978637603307
48,0.09881537978321946
49,0.09913289580610819
50,0.09945041182899694
51,0.09976792785188568
52,0.10008544387477443
53,0.10040295989766317
54,0.10072047592055192
55,0.10103799194344065
56,0.1013555079663294
57,0.10167302398921814
58,0.10199054001210689
59,0.10230805603499563
60,0.10262557205788438
61,0.10294308808077311
62,0.10326060410366186
63,0.1035781201265506
64,0.10389563614943934
65,0.10421315217232809
66,0.10453066819521682
67,0.10484818421810557
68,0.10516570024099431
69,0.10548321626388306
70,0.1058007322867718
71,0.10611824830966055
72,0.10643576433254928
73,0.10675328035543803
74,0.10707079637832677
75,0.10738831240121552
76,0.10770582842410426
77,0.108023344446993
78,0.10834086046988174
79,0.10865837649277049
80,0.10897589251565923
81,0.10929340853854798
82,0.10961092456143672
83,0.10992844058432547
84,0.1102459566072142
85,0.11056347263010295
86,0.11088098865299169
87,0.11556440389661726
88,0.12000563778372643
89,0.12444687167083558
90,0.12888810555794475
91,0.13309749430501472
92,0.13730688305208466
93,0.14159548220645346
94,0.14588408136082226
95,0.15017268051519106
96,0.1547395447744641
97,0.1593064090337372
98,0.1616393062435701
99,0.1626050472384118
100,0.16357078823325347
101,0.16453652922809517
102,0.16588478902168727
103,0.16723304881527937
104,0.17064725878472856
105,0.17406146875417774
106,0.17914028147326577
107,0.18421909419235377
108,0.18899550151304662
109,0.1982429572550441
110,0.20688955766365183
111,0.21553615807225956
112,0.22869196798488653
113,0.2418477778975135
114,0.2609039642931501
115,0.2799601506887867
116,0.3028714399747243
117,0.32578272926066193
118,0.34843717873799585
119,0.3710916282153297
120,0.38622297402404493
121,0.4013543198327601
122,0.4014233692101309
123,0.40149241858750173
124,0.40393037749748434
125,0.40636833640746695
126,0.40929880460850243
127,0.41222927280953797
128,0.4096462108376681
129,0.4070631488657982
130,0.40448008689392834
131,0.4018970249220585
132,0.38926793515385716
133,0.37663884538565584
134,0.36229681766148264
135,0.34795478993730944
136,0.3375626397318664
137,0.3271704895264233
138,0.3205310315362018
139,0.31389157354598035
140,0.3065460400988844
141,0.29920050665178843
142,0.2890953850606778
143,0.2789902634695672
144,0.2688851418784565
145,0.257387883684397
146,0.24589062549033747
147,0.23761471198600914
148,0.22933879848168082
149,0.2280444561807109
150,0.22675011387974095
151,0.236176678141658
152,0.245603242403575
153,0.27302526731990834
154,0.30044729223624167
155,0.3365995864435817
156,0.37275188065092163
157,0.40693098416096674
158,0.4411100876710118
159,0.4948550648669363
160,0.5486000420628608
161,0.611620191278889
162,0.6746403404949172
163,0.7418173408703352
164,0.8089943412457532
165,0.8761713416211713
166,0.9456236414122875
167,1.0150759412034038
168,1.08452824099452
169,1.1487888049171375
170,1.2130493688397548
171,1.2773099327623723
172,1.3262704277995492
173,1.3752309228367259
174,1.4241914178739028
175,1.478271022865868
176,1.5323506278578332
177,1.5864302328497983
178,1.644453488566507
179,1.7024767442832154
180,1.760499999999924
181,1.816999999999917
182,1.8734999999999096
183,1.9299999999999025
184,1.9864999999999677
185,2.043000000000033
186,2.0995000000000985
187,2.156000000000045
188,2.212499999999992
189,4.139249999999996
190,6.066
191,8.3725
192,10.679
193,9.723500000000001
194,8.768
195,8.37935
196,7.9907
197,7.60205
198,7.2134
199,6.824750000000001
200,6.436100000000001
201,6.04745
202,5.6588
203,5.27015
204,4.8815
205,4.49285
206,4.1042000000000005
207,3.71555
208,3.3269
209,2.93825
210,2.5496
211,2.1609499999999997
212,1.7722999999999998
213,1.3836499999999998
214,0.995
215,0.9917974683544304
216,0.9885949367088608
217,0.9853924050632912
218,0.9821898734177215
219,0.9789873417721519
220,0.9757848101265822
221,0.9725822784810126
222,0.969379746835443
223,0.9661772151898734
224,0.9629746835443038
225,0.9597721518987342
226,0.9565696202531646
227,0.9533670886075949
228,0.9501645569620253
229,0.9469620253164557
230,0.9437594936708861
231,0.9405569620253165
232,0.9373544303797469
233,0.9341518987341773
234,0.9309493670886075
235,0.9277468354430379
236,0.9245443037974683
237,0.9213417721518987
238,0.9181392405063291
239,0.9149367088607595
240,0.9117341772151899
241,0.9085316455696203
242,0.9053291139240507
243,0.902126582278481
244,0.8989240506329114
245,0.8957215189873418
246,0.8925189873417722
247,0.8893164556962025
248,0.8861139240506329
249,0.8829113924050633
250,0.8797088607594936
251,0.876506329113924
252,0.8733037974683544
253,0.8701012658227848
254,0.8668987341772152
255,0.8636962025316456
256,0.860493670886076
257,0.8572911392405064
258,0.8540886075949368
259,0.850886075949367
260,0.8476835443037974
261,0.8444810126582278
