Date,Mean_Ice_Concentration_12km,DOY,Mean_Ice_Concentration_perc_12km,Mean_Ice_Concentration_perc_3km,Mean_Ice_Concentration_3km
2013-01-25,0.6010191082802548,24,60.10191082802548,57.7274533174414,0.577274533174414
2013-01-26,0.6603609341825902,25,66.03609341825903,68.8120778704807,0.688120778704807
2013-01-27,0.7915498938428875,26,79.15498938428875,84.8364455039067,0.848364455039067
2013-01-28,0.891380042462845,27,89.1380042462845,95.5237716858694,0.9552377168586941
2013-01-29,0.9457749469214436,28,94.57749469214436,95.2324195470798,0.952324195470798
2013-01-30,0.967728237791932,29,96.7728237791932,97.4308038670374,0.974308038670374
2013-01-31,0.9850743099787684,30,98.50743099787684,98.3578333995497,0.9835783339954971
2013-02-01,0.9774734607218684,31,97.74734607218684,97.2718845186068,0.972718845186068
2013-02-02,0.8606369426751592,32,86.06369426751593,85.763475036419,0.8576347503641899
2013-02-03,0.835859872611465,33,83.5859872611465,83.7637399019997,0.837637399019997
2013-02-04,0.9198726114649682,34,91.98726114649682,91.4713283008873,0.9147132830088729
2013-02-05,0.9331847133757962,35,93.31847133757962,96.768639915243,0.96768639915243
2013-02-06,0.9388322717622082,36,93.8832271762208,93.5505231095219,0.935505231095219
2013-02-07,0.9400424628450108,37,94.00424628450106,92.1864653688253,0.921864653688253
2013-02-08,0.9350530785562632,38,93.50530785562631,97.9340484704012,0.9793404847040119
2013-02-09,0.944352441613588,39,94.4352441613588,97.7751291219706,0.9777512912197059
2013-02-10,0.9436730360934183,40,94.36730360934185,97.126208449212,0.97126208449212
2013-02-11,0.9626114649681528,41,96.26114649681529,97.8281022381141,0.978281022381141
2013-02-12,0.9775159235668788,42,97.7515923566879,97.7751291219706,0.9777512912197059
2013-02-13,0.9824416135881104,43,98.24416135881104,97.6426963316117,0.976426963316117
2013-02-14,0.98619957537155,44,98.619957537155,97.722156005827,0.97722156005827
2013-02-15,0.9977070063694268,45,99.77070063694268,99.3643226062773,0.993643226062773
2013-02-16,0.999447983014862,46,99.9447983014862,99.9735134419282,0.9997351344192821
2013-02-17,0.999511677282378,47,99.9511677282378,99.9072970467487,0.999072970467487
2013-02-18,0.9994267515923566,48,99.94267515923566,99.8940537677128,0.9989405376771281
2013-02-19,0.98828025477707,49,98.828025477707,98.5697258641239,0.9856972586412389
2013-02-20,0.9728874734607218,50,97.28874734607218,97.2718845186068,0.972718845186068
2013-02-21,0.9612101910828024,51,96.12101910828024,96.1859356376638,0.961859356376638
2013-02-22,0.9964543524416136,52,99.64543524416136,99.8940537677128,0.9989405376771281
2013-02-23,0.9941825902335456,53,99.41825902335457,99.5762150708515,0.995762150708515
2013-02-24,0.98619957537155,54,98.619957537155,98.198914051119,0.98198914051119
2013-02-25,0.9929087048832272,55,99.29087048832272,99.2981062110978,0.992981062110978
2013-02-26,0.9788535031847134,56,97.88535031847134,97.7751291219706,0.9777512912197059
2013-02-27,0.9815074309978769,57,98.15074309978768,97.9472917494371,0.979472917494371
2013-02-28,0.9825265392781316,58,98.25265392781316,98.5962124221957,0.9859621242219571
2013-03-01,0.966687898089172,59,96.6687898089172,96.9143159846378,0.969143159846378
2013-03-02,0.989808917197452,60,98.98089171974522,99.5762150708515,0.995762150708515
2013-03-03,0.998216560509554,61,99.8216560509554,99.7748642563898,0.9977486425638981
2013-03-04,0.991231422505308,62,99.1231422505308,99.0464839094159,0.9904648390941589
2013-03-05,0.992823779193206,63,99.2823779193206,99.3643226062773,0.993643226062773
2013-03-06,0.9909341825902336,64,99.09341825902337,99.03324063038,0.9903324063038
2013-03-07,0.9902547770700636,65,99.02547770700636,98.6624288173751,0.986624288173751
2013-03-08,0.9833545647558388,66,98.33545647558388,97.4440471460733,0.974440471460733
2013-03-09,0.9788110403397028,67,97.88110403397027,96.411071381274,0.9641107138127399
2013-03-10,0.9917409766454351,68,99.17409766454352,98.5035094689445,0.9850350946894451
2013-03-11,0.994819532908705,69,99.48195329087048,99.4305390014567,0.994305390014567
2013-03-12,0.9806581740976644,70,98.06581740976644,98.2651304462985,0.982651304462985
2013-03-13,0.9418259023354564,71,94.18259023354564,95.5502582439412,0.955502582439412
2013-03-14,0.9433545647558388,72,94.33545647558388,95.6297179181565,0.956297179181565
2013-03-15,0.9767728237791932,73,97.67728237791933,98.7418884915905,0.987418884915905
2013-03-16,0.9769639065817408,74,97.6963906581741,96.9672891007813,0.969672891007813
2013-03-17,0.9553290870488322,75,95.53290870488324,98.3313468414779,0.983313468414779
2013-03-18,0.9254777070063694,76,92.54777070063696,97.1394517282479,0.971394517282479
2013-03-19,0.8930573248407643,77,89.30573248407643,89.829161700437,0.89829161700437
2013-03-20,0.9047983014861996,78,90.47983014861995,95.5370149649053,0.955370149649053
2013-03-21,0.9428450106157112,79,94.28450106157112,97.8810753542577,0.9788107535425771
2013-03-22,0.9781316348195328,80,97.8131634819533,98.8743212819494,0.9887432128194941
2013-03-23,0.9793630573248407,81,97.93630573248409,98.2518871672626,0.982518871672626
2013-03-24,0.9839702760084924,82,98.39702760084926,99.3643226062773,0.993643226062773
2013-03-25,0.9879617834394904,83,98.79617834394904,98.3578333995497,0.9835783339954971
2013-03-26,0.978619957537155,84,97.8619957537155,97.364587471858,0.97364587471858
2013-03-27,0.9854140127388537,85,98.54140127388536,97.8545887961859,0.9785458879618589
2013-03-28,0.9708704883227176,86,97.08704883227176,96.2653953118792,0.962653953118792
2013-03-29,0.9644585987261146,87,96.44585987261146,95.9872864521255,0.959872864521255
2013-03-30,0.9654352441613588,88,96.54352441613588,96.1991789166997,0.9619917891669969
2013-03-31,0.958004246284501,89,95.8004246284501,95.4840418487617,0.954840418487617
2013-04-01,0.9647983014861996,90,96.47983014861995,96.5832340087405,0.965832340087405
2013-04-02,0.978216560509554,91,97.8216560509554,98.4240497947291,0.984240497947291
2013-04-03,0.9690021231422504,92,96.90021231422506,97.4970202622169,0.974970202622169
2013-04-04,0.9704033970276008,93,97.04033970276008,97.5235068202887,0.975235068202887
2013-04-05,0.8923354564755839,94,89.23354564755839,89.1007813534631,0.8910078135346311
2013-04-06,0.758407643312102,95,75.8407643312102,75.1688518077076,0.7516885180770759
2013-04-07,0.6801486199575372,96,68.01486199575372,67.7658588266454,0.677658588266454
2013-04-08,0.664755838641189,97,66.4755838641189,63.2896305125149,0.6328963051251489
2013-04-09,0.7545010615711253,98,75.45010615711253,75.0893921334922,0.7508939213349219
2013-04-10,0.8222292993630573,99,82.22292993630573,83.7637399019997,0.837637399019997
2013-04-11,0.893312101910828,100,89.3312101910828,90.6899748377698,0.9068997483776979
2013-04-12,0.8783651804670913,101,87.83651804670913,87.8823996821613,0.878823996821613
2013-04-13,0.8889384288747345,102,88.89384288747345,88.8359157727453,0.888359157727453
2013-04-14,0.875307855626327,103,87.5307855626327,88.6902397033505,0.886902397033505
2013-04-15,0.9108492569002123,104,91.08492569002124,91.2064627201695,0.912064627201695
2013-04-16,0.9539702760084926,105,95.39702760084926,97.1394517282479,0.971394517282479
2013-04-17,0.9653290870488322,106,96.53290870488324,96.6626936829559,0.966626936829559
2013-04-18,0.9811252653927812,107,98.11252653927814,97.9075619123294,0.979075619123294
2013-04-19,0.9856050955414012,108,98.56050955414013,98.3048602834061,0.983048602834061
2013-04-20,0.9939065817409768,109,99.39065817409768,99.4967553966362,0.994967553966362
2013-04-21,0.996008492569002,110,99.60084925690022,99.880810488677,0.99880810488677
2013-04-22,0.9975159235668788,111,99.7515923566879,99.9337836048205,0.999337836048205
2013-04-23,0.996751592356688,112,99.6751592356688,99.7086478612104,0.997086478612104
2013-04-24,0.9957537154989384,113,99.57537154989384,99.5099986756721,0.995099986756721
2013-04-25,0.9898513800424628,114,98.98513800424628,99.0729704674877,0.9907297046748771
2013-04-26,0.9565605095541402,115,95.65605095541402,95.3913388955105,0.953913388955105
2013-04-27,0.9548407643312102,116,95.48407643312102,95.2456628261157,0.9524566282611571
2013-04-28,0.9739065817409768,117,97.39065817409768,97.245397960535,0.97245397960535
2013-04-29,0.96067940552017,118,96.067940552017,95.7224208714077,0.9572242087140771
2013-04-30,0.9772611464968154,119,97.72611464968152,98.2386438882267,0.9823864388822671
2013-05-01,0.9655414012738852,120,96.55414012738854,98.7551317706264,0.987551317706264
2013-05-02,0.957176220806794,121,95.7176220806794,95.6032313600847,0.9560323136008471
2013-05-03,0.9607855626326964,122,96.07855626326965,95.0602569196133,0.950602569196133
2013-05-04,0.9785350318471338,123,97.85350318471338,97.9340484704012,0.9793404847040119
2013-05-05,0.990424628450106,124,99.04246284501062,98.7816183286981,0.9878161832869811
2013-05-06,0.9853290870488324,125,98.53290870488324,97.84134551715,0.9784134551715
2013-05-07,0.9711677282377918,126,97.1167728237792,96.2389087538074,0.962389087538074
2013-05-08,0.9664755838641188,127,96.64755838641187,94.4775526420341,0.944775526420341
2013-05-09,0.973312101910828,128,97.3312101910828,97.0732353330684,0.970732353330684
2013-05-10,0.9486624203821656,129,94.86624203821655,92.7956562044762,0.9279565620447621
2013-05-14,0.9486624203821656,130,94.86624203821655,92.7956562044762,0.9279565620447621
2013-05-15,0.9403184713375796,131,94.03184713375796,92.7956562044762,0.9279565620447621
2013-05-16,0.9659447983014862,132,96.5944798301486,92.7956562044762,0.9279565620447621
2013-05-17,0.8758174097664544,133,87.58174097664543,92.7956562044762,0.9279565620447621
2013-05-18,0.8725265392781316,134,87.25265392781316,92.8353860415839,0.928353860415839
2013-05-19,0.8742462845010616,135,87.42462845010616,93.656469341809,0.93656469341809
2013-05-20,0.862271762208068,136,86.2271762208068,85.9886107800291,0.8598861078002911
2013-05-21,0.829447983014862,137,82.9447983014862,89.2464574228579,0.892464574228579
2013-05-22,0.8133545647558387,138,81.33545647558387,88.7432128194941,0.887432128194941
2013-05-23,0.7626751592356688,139,76.26751592356688,86.9288835915772,0.869288835915772
2013-05-24,0.7040764331210191,140,70.40764331210191,82.293735929016,0.82293735929016
2013-05-25,0.6387048832271762,141,63.87048832271762,83.128062508277,0.83128062508277
2013-05-26,0.5561571125265393,142,55.61571125265393,74.877499668918,0.74877499668918
2013-05-27,0.5772611464968153,143,57.72611464968153,70.9442457952589,0.709442457952589
2013-05-28,0.5746709129511678,144,57.467091295116774,63.1042246060124,0.631042246060124
2013-05-29,0.5374946921443737,145,53.74946921443737,54.7344722553304,0.547344722553304
2013-05-30,0.5397664543524416,146,53.97664543524416,65.7263938551185,0.657263938551185
2013-05-31,0.527728237791932,147,52.7728237791932,60.3363792875115,0.603363792875115
2013-06-01,0.5054140127388534,148,50.54140127388535,62.6274665607204,0.626274665607204
2013-06-02,0.4794267515923567,149,47.94267515923567,62.4420606542179,0.624420606542179
2013-06-03,0.471380042462845,150,47.1380042462845,60.0715137067938,0.600715137067938
2013-06-04,0.4749893842887474,151,47.49893842887474,57.290425109257,0.57290425109257
2013-06-05,0.4292144373673036,152,42.92144373673036,58.3498874321282,0.583498874321282
2013-06-06,0.3985138004246284,153,39.85138004246284,50.7879751026354,0.507879751026354
2013-06-07,0.4528450106157112,154,45.28450106157113,53.4101443517414,0.5341014435174141
2013-06-08,0.4250530785562633,155,42.50530785562633,50.112567871805,0.50112567871805
