Day,Max_fluo_obs_mod
0.0,0.10104006542241233
1.0,0.10114105953282435
2.0,0.10124222160477227
3.0,0.10134355606214822
4.0,0.10144506628707847
5.0,0.10154675490209719
6.0,0.10164862389054245
7.0,0.10175067463644498
8.0,0.1018529079297426
9.0,0.10195532396189853
10.0,0.10205792232471401
11.0,0.1021607020178113
12.0,0.1022636614658573
13.0,0.10236679854390116
14.0,0.1024701106074784
15.0,0.10257359452293328
16.0,0.10267724669245665
17.0,0.10278106306757871
18.0,0.10288503914436256
19.0,0.10298916993314954
20.0,0.10309344989620373
21.0,0.10319787285012491
22.0,0.10330243184094638
23.0,0.10340711902838358
24.0,0.10351192568347742
25.0,0.10361684255717135
26.0,0.10372186121112915
27.0,0.10382697759715102
28.0,0.10393220051271577
29.0,0.10403756973230872
30.0,0.10414319040493035
31.0,0.10424928391392971
32.0,0.10435621221921348
33.0,0.1044704317642198
34.0,0.10458570422320715
35.0,0.10470200611640634
36.0,0.10481931690601136
37.0,0.1049376147652404
38.0,0.10505687421488955
39.0,0.10517706491027597
40.0,0.10529815112920334
41.0,0.10542009168253619
42.0,0.10554284007258202
43.0,0.10566634479106227
44.0,0.10579054969472829
45.0,0.10591539442499094
46.0,0.10604081485286633
47.0,0.1061667435392811
48.0,0.10629311020622224
49.0,0.10641984221757803
50.0,0.10654686507276198
51.0,0.1066741029096448
52.0,0.10680147901011094
53.0,0.10692891631031175
54.0,0.10705728328771845
55.0,0.10718492650243225
56.0,0.10731185728032366
57.0,0.10743698073153604
58.0,0.10755947595958434
59.0,0.10768764042084597
60.0,0.1078060251449512
61.0,0.1079200269817841
62.0,0.10802942875279462
63.0,0.10813441040314277
64.0,0.10823543903166827
65.0,0.10835332206683744
66.0,0.10844902630720868
67.0,0.10854472275480785
68.0,0.10864347093599802
69.0,0.10875235919392626
70.0,0.10885702325028826
71.0,0.10897404698137923
72.0,0.10910605055385184
73.0,0.10925394646853742
74.0,0.10941868484593206
75.0,0.10953904625994793
76.0,0.10972798555385053
77.0,0.10993726789618462
78.0,0.11016608761102355
79.0,0.11041342953141316
80.0,0.11058051476083192
81.0,0.1108581552560611
82.0,0.11115238776107354
83.0,0.11136143831476682
84.0,0.1116864424551899
85.0,0.11202571995423377
86.0,0.1123752363204471
87.0,0.11273088956034401
88.0,0.11302522907494883
89.0,0.1133968756402682
90.0,0.11376508962129285
91.0,0.1141248470389165
92.0,0.11447249865020057
93.0,0.11483846247413858
94.0,0.1151778196357881
95.0,0.11549643403630952
96.0,0.11579262382466954
97.0,0.11606433684461084
98.0,0.11646386113166485
99.0,0.11670378407850363
100.0,0.11691006225023752
101.0,0.11708316732120982
102.0,0.1172228930468819
103.0,0.11755722907647768
104.0,0.1176261351812912
105.0,0.1176475328545373
106.0,0.11762047418536437
107.0,0.11754294354030394
108.0,0.11741704677315594
109.0,0.11725042965701793
110.0,0.1170512643625396
111.0,0.11682443437601885
112.0,0.11657682523969647
113.0,0.11631844373875236
114.0,0.11605636498756029
115.0,0.11579682747388276
116.0,0.11554582664003518
117.0,0.11530753491780718
118.0,0.11508321638580017
119.0,0.11487473307768009
120.0,0.11468103248082748
121.0,0.11450186516653883
122.0,0.11434224157806995
123.0,0.11420647014064797
124.0,0.11409524398283823
125.0,0.11400965426873977
126.0,0.11394815188545282
127.0,0.11391307359209757
128.0,0.11390545317528097
129.0,0.11392262558529746
130.0,0.11395310824332258
131.0,0.11398485761344412
132.0,0.11401697020512556
133.0,0.11405414450208425
134.0,0.114102170554821
135.0,0.1141633976543859
136.0,0.11423837175488749
137.0,0.1143243143366732
138.0,0.1144203057139928
139.0,0.11452262994973117
140.0,0.11463074094261519
141.0,0.1147416355349088
142.0,0.11487658076651198
143.0,0.11497016262802605
144.0,0.11509785858172554
145.0,0.11521012693640474
146.0,0.11532334743399193
147.0,0.11543792752431861
148.0,0.11555409398284411
149.0,0.11567236231588224
150.0,0.11579339549776682
151.0,0.11591836181450524
152.0,0.1160499557740841
153.0,0.11619108422055296
154.0,0.11634246584551194
155.0,0.11650315047341712
156.0,0.11666887813574262
157.0,0.11683234902559678
158.0,0.11698286018889574
159.0,0.11710550177741309
160.0,0.1171804600687755
161.0,0.11718261071237156
162.0,0.11708162557468788
163.0,0.116845333361951
164.0,0.11642899448704877
165.0,0.11580877909848067
166.0,0.11493521692659275
167.0,0.11380609980789899
168.0,0.13618909948383856
169.0,0.28822122287149543
170.0,0.5283542911733704
171.0,0.7077595392385486
172.0,0.8107631616998032
173.0,0.8723918787052397
174.0,0.9241001678939297
175.0,0.964962736829741
176.0,1.00572102631458
177.0,1.0477826439777942
178.0,1.0921942760354266
179.0,1.1432215707565596
180.0,1.1932687618076296
181.0,1.250010675792124
182.0,1.319416281538297
183.0,1.4140087400540056
184.0,1.469719035486579
185.0,1.6024367612026675
186.0,1.7656766211526898
187.0,1.8764328476013652
188.0,1.8913001969263927
189.0,1.8666323247738774
190.0,1.8363638126961468
191.0,1.8058890924361006
192.0,1.775999564722264
193.0,1.7465728263153588
194.0,1.7174298107165018
195.0,1.6885303372605671
196.0,1.6598183976260035
197.0,1.6312349987225276
198.0,1.602734945399314
199.0,1.5745529684372703
200.0,1.5461663537456944
201.0,1.517840438585416
202.0,1.4895725680081418
203.0,1.4613496205121292
204.0,1.4331462608632017
205.0,1.4049209134910996
206.0,1.376923488037799
207.0,1.348558461882085
208.0,1.320017998345939
209.0,1.2912395681199407
210.0,1.2621602275711974
211.0,1.2327365008893476
212.0,1.2029827024116941
213.0,1.176162966771151
214.0,1.1470459848798362
