Day,Interpolated_T0
0,-1.433348532457106
1,-1.4346894324792019
2,-1.4360303325012977
3,-1.4373712325233936
4,-1.4387121325454895
5,-1.44004642344937
6,-1.4413807143532504
7,-1.442715005257131
8,-1.4440492961610114
9,-1.445383587064892
10,-1.446709548386517
11,-1.4480355097081423
12,-1.4493614710297675
13,-1.4506874323513927
14,-1.452013393673018
15,-1.4533138455720513
16,-1.4546142974710847
17,-1.455914749370118
18,-1.4572152012691517
19,-1.458515653168185
20,-1.4598161050672185
21,-1.4611165569662519
22,-1.4624170088652853
23,-1.4637174607643186
24,-1.4650179126633522
25,-1.4663183645623856
26,-1.467618816461419
27,-1.4689192683604524
28,-1.4702197202594858
29,-1.4715201721585192
30,-1.4728206240575528
31,-1.4741210759565861
32,-1.4754215278556195
33,-1.4766867831503425
34,-1.4779520384450655
35,-1.4792172937397887
36,-1.4804825490345117
37,-1.4817478043292347
38,-1.4829932655470714
39,-1.4842387267649082
40,-1.485484187982745
41,-1.4867296492005817
42,-1.4879751104184185
43,-1.4891657801925688
44,-1.4903564499667195
45,-1.4915471197408698
46,-1.4927377895150205
47,-1.4939284592891708
48,-1.4951191290633215
49,-1.4963097988374718
50,-1.4975004686116224
51,-1.4986911383857728
52,-1.4998818081599232
53,-1.5010724779340738
54,-1.5022631477082242
55,-1.5034538174823748
56,-1.5046444872565252
57,-1.5058351570306758
58,-1.5070258268048262
59,-1.5082164965789768
60,-1.5094071663531272
61,-1.5105335693398259
62,-1.5116599723265245
63,-1.5127863753132234
64,-1.513912778299922
65,-1.5150391812866206
66,-1.5161343707519679
67,-1.517229560217315
68,-1.5183247496826622
69,-1.5194199391480092
70,-1.5205151286133565
71,-1.521529886153006
72,-1.5225446436926555
73,-1.523559401232305
74,-1.5245741587719546
75,-1.525588916311604
76,-1.5266036738512536
77,-1.5276184313909031
78,-1.5286331889305527
79,-1.5296479464702022
80,-1.5306627040098515
81,-1.531677461549501
82,-1.5326922190891505
83,-1.5337069766288
84,-1.5347217341684496
85,-1.5357364917080991
86,-1.5367512492477486
87,-1.5377660067873982
88,-1.5387807643270477
89,-1.5397062162522235
90,-1.5406316681773995
91,-1.5415571201025753
92,-1.5424825720277513
93,-1.543408023952927
94,-1.5442927989730701
95,-1.545177573993213
96,-1.546062349013356
97,-1.5469471240334989
98,-1.547831899053642
99,-1.5481507028623824
100,-1.5484695066711232
101,-1.5487883104798637
102,-1.5491071142886044
103,-1.5494259180973449
104,-1.5497447219060856
105,-1.550063525714826
106,-1.5503823295235668
107,-1.5507011333323073
108,-1.5510199371410478
109,-1.5513387409497885
110,-1.551657544758529
111,-1.5519763485672697
112,-1.5522951523760102
113,-1.552613956184751
114,-1.5529327599934915
115,-1.5532515638022322
116,-1.5535703676109727
117,-1.552349995286768
118,-1.5511296229625635
119,-1.5499092506383587
120,-1.5486888783141541
121,-1.5474685059899496
122,-1.5466428807761874
123,-1.545817255562425
124,-1.5449916303486628
125,-1.5441660051349007
126,-1.5433403799211385
127,-1.542514754707376
128,-1.541689129493614
129,-1.5408635042798517
130,-1.5400378790660896
131,-1.5392122538523272
132,-1.538386628638565
133,-1.5375610034248028
134,-1.5367353782110407
135,-1.5359097529972783
136,-1.535084127783516
137,-1.534258502569754
138,-1.5334328773559918
139,-1.5326072521422294
140,-1.5317816269284672
141,-1.530956001714705
142,-1.5301303765009429
143,-1.5293047512871805
144,-1.5284791260734183
145,-1.5265984920269313
146,-1.5247178579804443
147,-1.5228372239339576
148,-1.5209565898874706
149,-1.5190759558409836
150,-1.5177847952669257
151,-1.5164936346928677
152,-1.5152024741188097
153,-1.5139113135447517
154,-1.5126201529706937
155,-1.5113289923966358
156,-1.5100378318225778
157,-1.5087466712485198
158,-1.5074555106744618
159,-1.5061643501004038
160,-1.5048731895263459
161,-1.5035820289522877
162,-1.5022908683782297
163,-1.5009997078041717
164,-1.4997085472301137
165,-1.4984173866560557
166,-1.4971262260819977
167,-1.4958350655079398
168,-1.4945439049338818
169,-1.4932527443598238
170,-1.4919615837857658
171,-1.4906704232117078
172,-1.4893792626376499
173,-1.4845585442253866
174,-1.4797378258131233
175,-1.47491710740086
176,-1.4700963889885967
177,-1.4652756705763335
178,-1.4567243978535394
179,-1.4481731251307453
180,-1.4396218524079514
181,-1.4310705796851573
182,-1.4225193069623632
183,-1.413968034239569
184,-1.405416761516775
185,-1.396865488793981
186,-1.388314216071187
187,-1.379762943348393
188,-1.3712116706255988
189,-1.3626603979028047
190,-1.3541091251800108
191,-1.3455578524572167
192,-1.3370065797344226
193,-1.3284553070116285
194,-1.3199040342888344
195,-1.3113527615660405
196,-1.3028014888432464
197,-1.2942502161204523
198,-1.28052305781947
199,-1.2667958995184878
200,-1.2530687412175054
201,-1.2382344178060387
202,-1.223400094394572
203,-1.2085657709831052
204,-1.1937314475716385
205,-1.1818965437474787
206,-1.173232931962633
207,-1.1711774521709555
208,-1.166204331818614
209,-1.1627145247795978
210,-1.1610037294885804
211,-1.1568493077032882
212,-1.152329991439755
213,-1.147485911789734
214,-1.1424090931597717
215,-1.1372667668364784
216,-1.1323412689915815
217,-1.128076153777781
218,-1.1250931273151172
