Day,Interpolated_Td
0,1.6146731593217079
1,1.6146731593217079
2,1.6146731593217079
3,1.6146731593217079
4,1.6146731593217079
5,1.614175513178604
6,1.6136778670355003
7,1.6131802208923964
8,1.6126825747492928
9,1.612184928606189
10,1.611662978375984
11,1.611141028145779
12,1.610619077915574
13,1.610097127685369
14,1.609575177455164
15,1.6089926506995975
16,1.6084101239440312
17,1.6078275971884646
18,1.607245070432898
19,1.6066625436773314
20,1.606080016921765
21,1.6054974901661985
22,1.604914963410632
23,1.6043324366550653
24,1.603749909899499
25,1.6031673831439324
26,1.6025848563883658
27,1.6020023296327994
28,1.6014198028772328
29,1.6008372761216663
30,1.6002547493660997
31,1.5996722226105333
32,1.5990896958549667
33,1.5984434611397267
34,1.5977972264244866
35,1.5971509917092463
36,1.5965047569940063
37,1.5958585222787662
38,1.5951830406440644
39,1.5945075590093623
40,1.5938320773746604
41,1.5931565957399583
42,1.5924811141052564
43,1.591733273361595
44,1.5909854326179336
45,1.590237591874272
46,1.5894897511306105
47,1.5887419103869491
48,1.5879940696432877
49,1.587246228899626
50,1.5864983881559647
51,1.5857505474123033
52,1.5850027066686418
53,1.5842548659249804
54,1.5835070251813188
55,1.5827591844376574
56,1.582011343693996
57,1.5812635029503346
58,1.580515662206673
59,1.5797678214630115
60,1.5790199807193501
61,1.5781950224137788
62,1.5773700641082076
63,1.5765451058026363
64,1.575720147497065
65,1.5748951891914937
66,1.5740342750904674
67,1.5731733609894412
68,1.572312446888415
69,1.5714515327873888
70,1.5705906186863625
71,1.569637934214293
72,1.5686852497422235
73,1.567732565270154
74,1.5667798807980844
75,1.5658271963260149
76,1.5648745118539453
77,1.5639218273818758
78,1.5629691429098063
79,1.5620164584377367
80,1.5610637739656672
81,1.5601110894935977
82,1.5591584050215281
83,1.5582057205494586
84,1.557253036077389
85,1.5563003516053195
86,1.55534766713325
87,1.5543949826611805
88,1.553442298189111
89,1.5523887599419304
90,1.5513352216947496
91,1.550281683447569
92,1.5492281452003882
93,1.5481746069532076
94,1.5470758308830648
95,1.5459770548129217
96,1.5448782787427788
97,1.5437795026726358
98,1.542680726602493
99,1.5413782207482412
100,1.5400757148939892
101,1.5387732090397375
102,1.5374707031854857
103,1.5361681973312338
104,1.534865691476982
105,1.5335631856227303
106,1.5322606797684784
107,1.5309581739142266
108,1.5296556680599749
109,1.528353162205723
110,1.5270506563514712
111,1.5257481504972195
112,1.5244456446429675
113,1.5231431387887158
114,1.521840632934464
115,1.520538127080212
116,1.5192356212259603
117,1.5173999594451706
118,1.5155642976643808
119,1.5137286358835909
120,1.511892974102801
121,1.5100573123220113
122,1.508601598716893
123,1.5071458851117747
124,1.5056901715066562
125,1.5042344579015379
126,1.5027787442964196
127,1.5013230306913012
128,1.499867317086183
129,1.4984116034810646
130,1.496955889875946
131,1.4955001762708278
132,1.4940444626657094
133,1.4925887490605911
134,1.4911330354554728
135,1.4896773218503545
136,1.488221608245236
137,1.4867658946401177
138,1.4853101810349993
139,1.483854467429881
140,1.4823987538247627
141,1.4809430402196444
142,1.4794873266145259
143,1.4780316130094076
144,1.4765758994042892
145,1.4749878317517195
146,1.47339976409915
147,1.4718116964465804
148,1.470223628794011
149,1.4686355611414412
150,1.4660202896336474
151,1.4634050181258538
152,1.46078974661806
153,1.458174475110266
154,1.4555592036024723
155,1.4529439320946786
156,1.4503286605868848
157,1.447713389079091
158,1.4450981175712971
159,1.4424828460635035
160,1.4398675745557097
161,1.4372523030479158
162,1.434637031540122
163,1.4320217600323284
164,1.4294064885245346
165,1.4267912170167407
166,1.4241759455089469
167,1.4215606740011533
168,1.4189454024933594
169,1.4163301309855656
170,1.4137148594777718
171,1.4110995879699781
172,1.4084843164621843
173,1.404915985946509
174,1.4013476554308337
175,1.3977793249151582
176,1.394210994399483
177,1.3906426638838076
178,1.3850402712881957
179,1.3794378786925838
180,1.373835486096972
181,1.36823309350136
182,1.3626307009057481
183,1.3570283083101364
184,1.3514259157145245
185,1.3458235231189126
186,1.3402211305233007
187,1.3346187379276888
188,1.329016345332077
189,1.323413952736465
190,1.317811560140853
191,1.3122091675452412
192,1.3066067749496293
193,1.3010043823540174
194,1.2954019897584055
195,1.2897995971627938
196,1.284197204567182
197,1.27859481197157
198,1.272992419375958
199,1.2673900267803462
200,1.2617876341847343
201,1.2613003972356236
202,1.260813160286513
203,1.2603259233374022
204,1.2598386863882916
205,1.2610462832886005
206,1.2640526684189057
207,1.2719012791165822
208,1.2790626237460645
209,1.2884375987153813
210,1.2994200343101963
211,1.3097353976977246
212,1.3199915558323128
213,1.3301836161324656
214,1.3403100767940264
215,1.3503751646130908
216,1.3603901423808193
217,1.3703701949295495
218,1.3803362854851653
219,1.390323658201415
220,1.4003882684783944
221,1.4106248584991647
222,1.420118390218062
223,1.430758961847971
224,1.4418205975303187
225,1.4509618442565928
226,1.4594824118432708
227,1.4672372844413555
228,1.4741462005055928
229,1.4801695406358375
230,1.4852801935993813
231,1.4894444846440666
232,1.492703624394057
233,1.4951431661375758
234,1.4968519774809568
235,1.4978937672160109
236,1.4983017798003768
237,1.4981554693702537
238,1.497556585155602
239,1.4965539019433565
240,1.4952032378114992
241,1.4935162575689624
242,1.4915301721164829
243,1.489312400380856
244,1.4869016964615724
245,1.4842898763493977
246,1.48148759077229
247,1.4785293485269535
248,1.4754382218580626
249,1.4722543961898042
250,1.469017180656059
251,1.465726226800253
252,1.4623448187480501
253,1.4588267862125897
254,1.4551351191974669
255,1.4512493529881123
256,1.447174331012797
257,1.442962192155046
258,1.438679655488215
